Angstroms, e1, e2, n, k, Absorption 
2500, -9.251114e-01, 5.233084e+00, 1.481404e+00, 1.766258e+00, 4.373231e-02 
2600, -5.673082e-01, 5.208952e+00, 1.528471e+00, 1.703975e+00, 4.189625e-02 
2700, -4.781340e-01, 5.069093e+00, 1.518792e+00, 1.668791e+00, 3.931381e-02 
2800, -4.708171e-01, 4.914946e+00, 1.494428e+00, 1.644424e+00, 3.680461e-02 
2900, -5.941523e-01, 4.746698e+00, 1.447340e+00, 1.639801e+00, 3.436226e-02 
3000, -8.330695e-01, 4.641927e+00, 1.393381e+00, 1.665707e+00, 3.251455e-02 
3100, -1.164737e+00, 4.611071e+00, 1.339993e+00, 1.720558e+00, 3.127642e-02 
3200, -1.358456e+00, 4.758144e+00, 1.339741e+00, 1.775771e+00, 3.126562e-02 
3300, -1.541887e+00, 4.860735e+00, 1.333705e+00, 1.822267e+00, 3.097646e-02 
3400, -1.707799e+00, 4.887586e+00, 1.317111e+00, 1.855419e+00, 3.024286e-02 
3500, -1.894131e+00, 4.914259e+00, 1.298562e+00, 1.892193e+00, 2.954961e-02 
3600, -2.096507e+00, 4.940794e+00, 1.278806e+00, 1.931800e+00, 2.889362e-02 
3700, -2.497993e+00, 5.015195e+00, 1.245969e+00, 2.012568e+00, 2.854120e-02 
3800, -3.069089e+00, 5.130370e+00, 1.206069e+00, 2.126897e+00, 2.842994e-02 
3900, -3.491700e+00, 5.215600e+00, 1.180000e+00, 2.210000e+00, 2.816498e-02 
4000, -3.491700e+00, 5.215600e+00, 1.180000e+00, 2.210000e+00, 2.747062e-02 
4100, -3.491700e+00, 5.215600e+00, 1.180000e+00, 2.210000e+00, 2.680967e-02 
4200, -3.652727e+00, 5.285280e+00, 1.177276e+00, 2.244706e+00, 2.652485e-02 
4300, -3.893066e+00, 5.389280e+00, 1.173726e+00, 2.295800e+00, 2.641922e-02 
4400, -4.133405e+00, 5.493279e+00, 1.170741e+00, 2.346069e+00, 2.631838e-02 
4500, -4.354610e+00, 5.570597e+00, 1.165342e+00, 2.390112e+00, 2.609866e-02 
