Angstroms, e1, e2, n, k, Absorption 
2450, -3.177809e+00, 5.963001e+00, 1.337741e+00, 2.228758e+00, 5.066594e-02 
2460, -3.209932e+00, 6.072640e+00, 1.352569e+00, 2.244855e+00, 5.136890e-02 
2470, -3.241262e+00, 6.185569e+00, 1.367859e+00, 2.261040e+00, 5.209262e-02 
2480, -3.271657e+00, 6.301931e+00, 1.383639e+00, 2.277304e+00, 5.283798e-02 
2490, -3.300955e+00, 6.421873e+00, 1.399933e+00, 2.293636e+00, 5.360584e-02 
2500, -3.328978e+00, 6.545545e+00, 1.416770e+00, 2.310025e+00, 5.439708e-02 
2510, -3.355525e+00, 6.673097e+00, 1.434177e+00, 2.326454e+00, 5.521256e-02 
2520, -3.380373e+00, 6.804677e+00, 1.452186e+00, 2.342908e+00, 5.605311e-02 
2530, -3.403275e+00, 6.940432e+00, 1.470826e+00, 2.359365e+00, 5.691953e-02 
2540, -3.423958e+00, 7.080505e+00, 1.490129e+00, 2.375803e+00, 5.781255e-02 
2550, -3.442120e+00, 7.225029e+00, 1.510125e+00, 2.392195e+00, 5.873284e-02 
2560, -3.457427e+00, 7.374131e+00, 1.530849e+00, 2.408511e+00, 5.968096e-02 
2570, -3.469517e+00, 7.527923e+00, 1.552331e+00, 2.424716e+00, 6.065738e-02 
2580, -3.477992e+00, 7.686497e+00, 1.574604e+00, 2.440772e+00, 6.166240e-02 
2590, -3.482419e+00, 7.849926e+00, 1.597698e+00, 2.456636e+00, 6.269612e-02 
2600, -3.482329e+00, 8.018256e+00, 1.621646e+00, 2.472259e+00, 6.375846e-02 
2610, -3.477219e+00, 8.191497e+00, 1.646474e+00, 2.487588e+00, 6.484907e-02 
2620, -3.466546e+00, 8.369622e+00, 1.672209e+00, 2.502565e+00, 6.596729e-02 
2630, -3.449737e+00, 8.552557e+00, 1.698875e+00, 2.517124e+00, 6.711214e-02 
2640, -3.426184e+00, 8.740173e+00, 1.726491e+00, 2.531196e+00, 6.828221e-02 
2650, -3.395247e+00, 8.932278e+00, 1.755072e+00, 2.544705e+00, 6.947569e-02 
2660, -3.356267e+00, 9.128611e+00, 1.784627e+00, 2.557569e+00, 7.069022e-02 
2670, -3.308562e+00, 9.328828e+00, 1.815158e+00, 2.569701e+00, 7.192294e-02 
2680, -3.251443e+00, 9.532501e+00, 1.846662e+00, 2.581008e+00, 7.317037e-02 
2690, -3.184221e+00, 9.739102e+00, 1.879124e+00, 2.591395e+00, 7.442840e-02 
2700, -3.106222e+00, 9.948005e+00, 1.912519e+00, 2.600760e+00, 7.569225e-02 
2710, -3.016797e+00, 1.015847e+01, 1.946813e+00, 2.609000e+00, 7.695643e-02 
2720, -2.915345e+00, 1.036965e+01, 1.981959e+00, 2.616010e+00, 7.821477e-02 
2730, -2.801329e+00, 1.058058e+01, 2.017896e+00, 2.621685e+00, 7.946041e-02 
2740, -2.674293e+00, 1.079019e+01, 2.054551e+00, 2.625923e+00, 8.068582e-02 
2750, -2.533892e+00, 1.099729e+01, 2.091835e+00, 2.628624e+00, 8.188287e-02 
2760, -2.379904e+00, 1.120063e+01, 2.129645e+00, 2.629694e+00, 8.304294e-02 
2770, -2.212259e+00, 1.139885e+01, 2.167865e+00, 2.629049e+00, 8.415700e-02 
2780, -2.031054e+00, 1.159053e+01, 2.206364e+00, 2.626613e+00, 8.521580e-02 
2790, -1.836571e+00, 1.177424e+01, 2.244999e+00, 2.622325e+00, 8.620999e-02 
2800, -1.629287e+00, 1.194852e+01, 2.283616e+00, 2.616140e+00, 8.713037e-02 
2810, -1.409885e+00, 1.211195e+01, 2.322052e+00, 2.608028e+00, 8.796807e-02 
2820, -1.179252e+00, 1.226318e+01, 2.360137e+00, 2.597980e+00, 8.871480e-02 
2830, -9.384716e-01, 1.240094e+01, 2.397700e+00, 2.586007e+00, 8.936307e-02 
2840, -6.888129e-01, 1.252410e+01, 2.434565e+00, 2.572143e+00, 8.990640e-02 
2850, -4.317064e-01, 1.263171e+01, 2.470564e+00, 2.556442e+00, 9.033952e-02 
2860, -1.687171e-01, 1.272298e+01, 2.505532e+00, 2.538978e+00, 9.065851e-02 
2870, 9.848944e-02, 1.279738e+01, 2.539316e+00, 2.519848e+00, 9.086095e-02 
