Angstroms, e1, e2, n, k, Absorption 
2500, 5.228284e+00, 1.564445e-01, 2.286800e+00, 3.420600e-02, 1.335946e-03 
2600, 5.376876e+00, 1.703286e-01, 2.319100e+00, 3.672300e-02, 1.398522e-03 
2700, 5.253966e+00, 1.541960e-01, 2.292400e+00, 3.363200e-02, 1.219279e-03 
2800, 5.143330e+00, 1.007672e-01, 2.268000e+00, 2.221500e-02, 7.685164e-04 
2900, 4.987414e+00, 6.548035e-02, 2.233300e+00, 1.466000e-02, 4.822442e-04 
3000, 4.893557e+00, 7.294065e-02, 2.212200e+00, 1.648600e-02, 5.192714e-04 
3100, 4.820801e+00, 7.574725e-02, 2.195700e+00, 1.724900e-02, 5.218559e-04 
3200, 4.784377e+00, 8.089443e-02, 2.187400e+00, 1.849100e-02, 5.398961e-04 
3300, 4.765213e+00, 7.262405e-02, 2.183000e+00, 1.663400e-02, 4.700275e-04 
3400, 4.745257e+00, 5.668197e-02, 2.178400e+00, 1.301000e-02, 3.560799e-04 
3500, 4.722237e+00, 4.889040e-02, 2.173100e+00, 1.124900e-02, 2.983662e-04 
3600, 4.727444e+00, 5.071772e-02, 2.174300e+00, 1.166300e-02, 3.009197e-04 
3700, 4.718452e+00, 0, 2.172200e+00, 0, 0 
3800, 4.664736e+00, 0, 2.159800e+00, 0, 0 
3900, 4.613904e+00, 0, 2.148000e+00, 0, 0 
4000, 4.577889e+00, 0, 2.139600e+00, 0, 0 
4100, 4.549263e+00, 0, 2.132900e+00, 0, 0 
4200, 4.505855e+00, 0, 2.122700e+00, 0, 0 
4300, 4.479149e+00, 0, 2.116400e+00, 0, 0 
4400, 4.456321e+00, 0, 2.111000e+00, 0, 0 
4500, 4.434393e+00, 0, 2.105800e+00, 0, 0 
4600, 4.412520e+00, 0, 2.100600e+00, 0, 0 
4700, 4.391539e+00, 0, 2.095600e+00, 0, 0 
4800, 4.372282e+00, 0, 2.091000e+00, 0, 0 
4900, 4.355152e+00, 0, 2.086900e+00, 0, 0 
5000, 4.338056e+00, 0, 2.082800e+00, 0, 0 
5100, 4.320578e+00, 0, 2.078600e+00, 0, 0 
5200, 4.306040e+00, 0, 2.075100e+00, 0, 0 
5300, 4.292355e+00, 0, 2.071800e+00, 0, 0 
5400, 4.281589e+00, 0, 2.069200e+00, 0, 0 
5500, 4.266703e+00, 0, 2.065600e+00, 0, 0 
5600, 4.256382e+00, 0, 2.063100e+00, 0, 0 
5700, 4.246073e+00, 0, 2.060600e+00, 0, 0 
5800, 4.235775e+00, 0, 2.058100e+00, 0, 0 
5900, 4.223025e+00, 0, 2.055000e+00, 0, 0 
6000, 4.213988e+00, 0, 2.052800e+00, 0, 0 
6100, 4.208242e+00, 0, 2.051400e+00, 0, 0 
6200, 4.198811e+00, 0, 2.049100e+00, 0, 0 
6300, 4.191847e+00, 0, 2.047400e+00, 0, 0 
6400, 4.185707e+00, 0, 2.045900e+00, 0, 0 
6500, 4.183661e+00, 0, 2.045400e+00, 0, 0 
6600, 4.173032e+00, 0, 2.042800e+00, 0, 0 
6700, 4.168539e+00, 0, 2.041700e+00, 0, 0 
6800, 4.165680e+00, 0, 2.041000e+00, 0, 0 
6900, 4.160376e+00, 0, 2.039700e+00, 0, 0 
7000, 4.162008e+00, 0, 2.040100e+00, 0, 0 
7100, 4.159968e+00, 0, 2.039600e+00, 0, 0 
7200, 4.144075e+00, 0, 2.035700e+00, 0, 0 
7300, 4.143667e+00, 0, 2.035600e+00, 0, 0 
7400, 4.148147e+00, 0, 2.036700e+00, 0, 0 
7500, 4.137563e+00, 0, 2.034100e+00, 0, 0 
7600, 4.137156e+00, 0, 2.034000e+00, 0, 0 
7700, 4.139597e+00, 0, 2.034600e+00, 0, 0 
7800, 4.119682e+00, 0, 2.029700e+00, 0, 0 
7900, 4.142039e+00, 0, 2.035200e+00, 0, 0 
8000, 4.129837e+00, 0, 2.032200e+00, 0, 0 
8100, 4.132683e+00, 0, 2.032900e+00, 0, 0 
8200, 4.128617e+00, 0, 2.031900e+00, 0, 0 
8300, 4.123337e+00, 0, 2.030600e+00, 0, 0 
8400, 4.122930e+00, 0, 2.030500e+00, 0, 0 
8500, 4.119276e+00, 0, 2.029600e+00, 0, 0 
8600, 4.094148e+00, 0, 2.023400e+00, 0, 0 
8700, 4.106298e+00, 0, 2.026400e+00, 0, 0 
8800, 4.115218e+00, 0, 2.028600e+00, 0, 0 
8900, 4.100625e+00, 0, 2.025000e+00, 0, 0 
9000, 4.103461e+00, 0, 2.025700e+00, 0, 0 
9100, 4.101840e+00, 0, 2.025300e+00, 0, 0 
9200, 4.097791e+00, 0, 2.024300e+00, 0, 0 
9300, 4.096981e+00, 0, 2.024100e+00, 0, 0 
9400, 4.093338e+00, 0, 2.023200e+00, 0, 0 
9500, 4.096981e+00, 0, 2.024100e+00, 0, 0 
9600, 4.099410e+00, 0, 2.024700e+00, 0, 0 
9700, 4.096576e+00, 0, 2.024000e+00, 0, 0 
9800, 4.087676e+00, 0, 2.021800e+00, 0, 0 
9900, 4.097791e+00, 0, 2.024300e+00, 0, 0 
10000, 4.076361e+00, 0, 2.019000e+00, 0, 0 
