Angstroms, e1, e2, n, k, Absorption 
2500, -1.064778e+01, 1.218664e+01, 1.663613e+00, 3.662702e+00, 9.889766e-02 
2600, -1.362911e+01, 1.433685e+01, 1.753873e+00, 4.087198e+00, 1.111247e-01 
2700, -1.770278e+01, 1.958295e+01, 2.085152e+00, 4.695810e+00, 1.435364e-01 
2800, -1.932046e+01, 3.133492e+01, 2.957364e+00, 5.297779e+00, 2.126421e-01 
2900, -8.967725e+00, 4.649933e+01, 4.381122e+00, 5.306784e+00, 2.900332e-01 
3000, 8.107720e+00, 4.313567e+01, 5.098957e+00, 4.229852e+00, 2.644720e-01 
3100, 1.307737e+01, 3.706456e+01, 5.117680e+00, 3.621227e+00, 2.254094e-01 
3200, 1.543601e+01, 3.404488e+01, 5.138911e+00, 3.312461e+00, 2.033021e-01 
3300, 1.743629e+01, 3.243764e+01, 5.208802e+00, 3.113733e+00, 1.894059e-01 
3400, 1.940516e+01, 3.178707e+01, 5.321997e+00, 2.986385e+00, 1.810433e-01 
3500, 2.184881e+01, 3.249234e+01, 5.522858e+00, 2.941624e+00, 1.798946e-01 
3600, 2.789907e+01, 3.594795e+01, 6.058179e+00, 2.966894e+00, 1.921020e-01 
3700, 4.401570e+01, 2.921289e+01, 6.958573e+00, 2.099057e+00, 1.552103e-01 
3800, 4.341241e+01, 1.220810e+01, 6.652394e+00, 9.175721e-01, 6.632930e-02 
3900, 3.653044e+01, 5.386139e+00, 6.060355e+00, 4.443748e-01, 2.907240e-02 
4000, 3.163453e+01, 3.219328e+00, 5.631716e+00, 2.858213e-01, 1.704653e-02 
4100, 2.854048e+01, 2.273173e+00, 5.346557e+00, 2.125829e-01, 1.177438e-02 
4200, 2.633410e+01, 1.649457e+00, 5.134190e+00, 1.606346e-01, 8.354682e-03 
4300, 2.461256e+01, 1.211061e+00, 4.962605e+00, 1.220187e-01, 5.998610e-03 
4400, 2.321528e+01, 9.052393e-01, 4.819139e+00, 9.392126e-02, 4.385463e-03 
4500, 2.205906e+01, 6.944091e-01, 4.697289e+00, 7.391593e-02, 3.291137e-03 
4600, 2.108956e+01, 5.501233e-01, 4.592727e+00, 5.989070e-02, 2.551563e-03 
4700, 2.026895e+01, 4.518063e-01, 4.502385e+00, 5.017411e-02, 2.051480e-03 
4800, 1.956915e+01, 3.846370e-01, 4.423917e+00, 4.347245e-02, 1.710397e-03 
4900, 1.896696e+01, 3.377630e-01, 4.355280e+00, 3.877626e-02, 1.471482e-03 
5000, 1.844515e+01, 3.038640e-01, 4.294927e+00, 3.537475e-02, 1.297437e-03 
5100, 1.798948e+01, 2.778966e-01, 4.241527e+00, 3.275903e-02, 1.163373e-03 
5200, 1.758804e+01, 2.566050e-01, 4.193921e+00, 3.059250e-02, 1.053639e-03 
5300, 1.723109e+01, 2.380713e-01, 4.151134e+00, 2.867545e-02, 9.591390e-04 
5400, 1.691188e+01, 2.213300e-01, 4.112494e+00, 2.690946e-02, 8.752160e-04 
5500, 1.662393e+01, 2.058908e-01, 4.077324e+00, 2.524827e-02, 7.993911e-04 
5600, 1.636295e+01, 1.915578e-01, 4.045183e+00, 2.367727e-02, 7.304859e-04 
5700, 1.612517e+01, 1.782229e-01, 4.015677e+00, 2.219089e-02, 6.677323e-04 
5800, 1.590747e+01, 1.658028e-01, 3.988471e+00, 2.078526e-02, 6.105062e-04 
