Angstroms, e1, e2, n, k, Absorption 
2500, 5.158844e+00, 1.972526e-02, 2.271313e+00, 4.342260e-03, 1.685408e-04 
2600, 5.006763e+00, 6.729574e-03, 2.237580e+00, 1.503762e-03, 5.529184e-05 
2700, 4.892322e+00, 2.650492e-03, 2.211860e+00, 5.991547e-04, 2.097090e-05 
2800, 4.794102e+00, 7.019423e-04, 2.189544e+00, 1.602942e-04, 5.355512e-06 
2900, 4.710621e+00, 1.052909e-04, 2.170397e+00, 2.425614e-05, 7.756244e-07 
3000, 4.645305e+00, 0, 2.155297e+00, 0, 0 
3100, 4.583881e+00, 0, 2.141000e+00, 0, 0 
3200, 4.543669e+00, 0, 2.131588e+00, 0, 0 
3300, 4.503458e+00, 0, 2.122135e+00, 0, 0 
3400, 4.463246e+00, 0, 2.112640e+00, 0, 0 
3500, 4.423034e+00, 0, 2.103101e+00, 0, 0 
3600, 4.392500e+00, 0, 2.095829e+00, 0, 0 
3700, 4.369223e+00, 0, 2.090269e+00, 0, 0 
3800, 4.345946e+00, 0, 2.084693e+00, 0, 0 
3900, 4.322669e+00, 0, 2.079103e+00, 0, 0 
4000, 4.299392e+00, 0, 2.073497e+00, 0, 0 
4100, 4.276115e+00, 0, 2.067877e+00, 0, 0 
4200, 4.260076e+00, 0, 2.063995e+00, 0, 0 
4300, 4.247655e+00, 0, 2.060984e+00, 0, 0 
4400, 4.235235e+00, 0, 2.057969e+00, 0, 0 
4500, 4.222814e+00, 0, 2.054949e+00, 0, 0 
4600, 4.210394e+00, 0, 2.051924e+00, 0, 0 
4700, 4.197973e+00, 0, 2.048896e+00, 0, 0 
4800, 4.185553e+00, 0, 2.045862e+00, 0, 0 
4900, 4.173133e+00, 0, 2.042825e+00, 0, 0 
5000, 4.163190e+00, 0, 2.040390e+00, 0, 0 
5100, 4.156965e+00, 0, 2.038864e+00, 0, 0 
5200, 4.150739e+00, 0, 2.037336e+00, 0, 0 
5300, 4.144514e+00, 0, 2.035808e+00, 0, 0 
5400, 4.138288e+00, 0, 2.034278e+00, 0, 0 
5500, 4.132063e+00, 0, 2.032748e+00, 0, 0 
5600, 4.125837e+00, 0, 2.031216e+00, 0, 0 
5700, 4.119612e+00, 0, 2.029683e+00, 0, 0 
5800, 4.113386e+00, 0, 2.028148e+00, 0, 0 
5900, 4.107161e+00, 0, 2.026613e+00, 0, 0 
6000, 4.100935e+00, 0, 2.025077e+00, 0, 0 
6100, 4.094710e+00, 0, 2.023539e+00, 0, 0 
6200, 4.088484e+00, 0, 2.022000e+00, 0, 0 
6300, 4.085754e+00, 0, 2.021325e+00, 0, 0 
6400, 4.083024e+00, 0, 2.020649e+00, 0, 0 
6500, 4.080294e+00, 0, 2.019974e+00, 0, 0 
6600, 4.077564e+00, 0, 2.019298e+00, 0, 0 
6700, 4.074834e+00, 0, 2.018622e+00, 0, 0 
6800, 4.072104e+00, 0, 2.017946e+00, 0, 0 
6900, 4.069374e+00, 0, 2.017269e+00, 0, 0 
7000, 4.066644e+00, 0, 2.016592e+00, 0, 0 
7100, 4.063914e+00, 0, 2.015915e+00, 0, 0 
7200, 4.061184e+00, 0, 2.015238e+00, 0, 0 
7300, 4.058454e+00, 0, 2.014560e+00, 0, 0 
7400, 4.055724e+00, 0, 2.013883e+00, 0, 0 
7500, 4.052994e+00, 0, 2.013205e+00, 0, 0 
7600, 4.050264e+00, 0, 2.012527e+00, 0, 0 
7700, 4.047534e+00, 0, 2.011848e+00, 0, 0 
7800, 4.044804e+00, 0, 2.011170e+00, 0, 0 
7900, 4.042074e+00, 0, 2.010491e+00, 0, 0 
8000, 4.039344e+00, 0, 2.009812e+00, 0, 0 
8100, 4.036614e+00, 0, 2.009133e+00, 0, 0 
8200, 4.033883e+00, 0, 2.008453e+00, 0, 0 
8300, 4.031740e+00, 0, 2.007919e+00, 0, 0 
8400, 4.030771e+00, 0, 2.007678e+00, 0, 0 
8500, 4.029802e+00, 0, 2.007437e+00, 0, 0 
8600, 4.028833e+00, 0, 2.007195e+00, 0, 0 
8700, 4.027864e+00, 0, 2.006954e+00, 0, 0 
8800, 4.026895e+00, 0, 2.006712e+00, 0, 0 
8900, 4.025925e+00, 0, 2.006471e+00, 0, 0 
9000, 4.024956e+00, 0, 2.006229e+00, 0, 0 
9100, 4.023987e+00, 0, 2.005988e+00, 0, 0 
9200, 4.023018e+00, 0, 2.005746e+00, 0, 0 
9300, 4.022049e+00, 0, 2.005505e+00, 0, 0 
9400, 4.021079e+00, 0, 2.005263e+00, 0, 0 
9500, 4.020110e+00, 0, 2.005021e+00, 0, 0 
9600, 4.019141e+00, 0, 2.004780e+00, 0, 0 
9700, 4.018172e+00, 0, 2.004538e+00, 0, 0 
9800, 4.017203e+00, 0, 2.004296e+00, 0, 0 
9900, 4.016234e+00, 0, 2.004054e+00, 0, 0 
10000, 4.015264e+00, 0, 2.003812e+00, 0, 0 
