Angstroms, e1, e2, n, k, Absorption 
2500, 2.290758e+00, 0, 1.513525e+00, 0, 0 
2600, 2.275310e+00, 0, 1.508413e+00, 0, 0 
2700, 2.261933e+00, 0, 1.503972e+00, 0, 0 
2800, 2.250262e+00, 0, 1.500087e+00, 0, 0 
2900, 2.240005e+00, 0, 1.496665e+00, 0, 0 
3000, 2.230932e+00, 0, 1.493630e+00, 0, 0 
3100, 2.222863e+00, 0, 1.490927e+00, 0, 0 
3200, 2.215649e+00, 0, 1.488506e+00, 0, 0 
3300, 2.209168e+00, 0, 1.486327e+00, 0, 0 
3400, 2.203321e+00, 0, 1.484359e+00, 0, 0 
3500, 2.198021e+00, 0, 1.482572e+00, 0, 0 
3600, 2.193203e+00, 0, 1.480947e+00, 0, 0 
3700, 2.188806e+00, 0, 1.479461e+00, 0, 0 
3800, 2.184777e+00, 0, 1.478099e+00, 0, 0 
3900, 2.181079e+00, 0, 1.476848e+00, 0, 0 
4000, 2.177673e+00, 0, 1.475694e+00, 0, 0 
4100, 2.174528e+00, 0, 1.474628e+00, 0, 0 
4200, 2.171613e+00, 0, 1.473639e+00, 0, 0 
4300, 2.168908e+00, 0, 1.472721e+00, 0, 0 
4400, 2.166391e+00, 0, 1.471867e+00, 0, 0 
4500, 2.164044e+00, 0, 1.471069e+00, 0, 0 
4600, 2.161852e+00, 0, 1.470324e+00, 0, 0 
4700, 2.159797e+00, 0, 1.469625e+00, 0, 0 
4800, 2.157869e+00, 0, 1.468969e+00, 0, 0 
4900, 2.156058e+00, 0, 1.468352e+00, 0, 0 
5000, 2.154352e+00, 0, 1.467771e+00, 0, 0 
5100, 2.152741e+00, 0, 1.467222e+00, 0, 0 
5200, 2.151220e+00, 0, 1.466704e+00, 0, 0 
5300, 2.149777e+00, 0, 1.466212e+00, 0, 0 
5400, 2.148413e+00, 0, 1.465746e+00, 0, 0 
5500, 2.147115e+00, 0, 1.465304e+00, 0, 0 
5600, 2.145881e+00, 0, 1.464883e+00, 0, 0 
5700, 2.144706e+00, 0, 1.464482e+00, 0, 0 
5800, 2.143586e+00, 0, 1.464099e+00, 0, 0 
5900, 2.142515e+00, 0, 1.463733e+00, 0, 0 
6000, 2.141490e+00, 0, 1.463383e+00, 0, 0 
6100, 2.140511e+00, 0, 1.463048e+00, 0, 0 
6200, 2.139570e+00, 0, 1.462727e+00, 0, 0 
6300, 2.138667e+00, 0, 1.462418e+00, 0, 0 
6400, 2.137798e+00, 0, 1.462121e+00, 0, 0 
6500, 2.136962e+00, 0, 1.461835e+00, 0, 0 
6600, 2.136156e+00, 0, 1.461560e+00, 0, 0 
6700, 2.135380e+00, 0, 1.461294e+00, 0, 0 
6800, 2.134630e+00, 0, 1.461037e+00, 0, 0 
6900, 2.133904e+00, 0, 1.460789e+00, 0, 0 
7000, 2.133199e+00, 0, 1.460547e+00, 0, 0 
7100, 2.132518e+00, 0, 1.460314e+00, 0, 0 
7200, 2.131859e+00, 0, 1.460089e+00, 0, 0 
7300, 2.131215e+00, 0, 1.459868e+00, 0, 0 
7400, 2.130593e+00, 0, 1.459655e+00, 0, 0 
7500, 2.129986e+00, 0, 1.459447e+00, 0, 0 
7600, 2.129395e+00, 0, 1.459245e+00, 0, 0 
7700, 2.128817e+00, 0, 1.459047e+00, 0, 0 
7800, 2.128254e+00, 0, 1.458854e+00, 0, 0 
7900, 2.127705e+00, 0, 1.458665e+00, 0, 0 
8000, 2.127170e+00, 0, 1.458482e+00, 0, 0 
8100, 2.126642e+00, 0, 1.458301e+00, 0, 0 
8200, 2.126129e+00, 0, 1.458125e+00, 0, 0 
8300, 2.125624e+00, 0, 1.457952e+00, 0, 0 
8400, 2.125130e+00, 0, 1.457783e+00, 0, 0 
8500, 2.124644e+00, 0, 1.457616e+00, 0, 0 
8600, 2.124167e+00, 0, 1.457452e+00, 0, 0 
8700, 2.123698e+00, 0, 1.457291e+00, 0, 0 
8800, 2.123237e+00, 0, 1.457133e+00, 0, 0 
8900, 2.122782e+00, 0, 1.456977e+00, 0, 0 
9000, 2.122334e+00, 0, 1.456823e+00, 0, 0 
9100, 2.121893e+00, 0, 1.456672e+00, 0, 0 
9200, 2.121457e+00, 0, 1.456522e+00, 0, 0 
9300, 2.121029e+00, 0, 1.456375e+00, 0, 0 
9400, 2.120604e+00, 0, 1.456229e+00, 0, 0 
9500, 2.120183e+00, 0, 1.456085e+00, 0, 0 
9600, 2.119769e+00, 0, 1.455943e+00, 0, 0 
9700, 2.119358e+00, 0, 1.455801e+00, 0, 0 
9800, 2.118952e+00, 0, 1.455662e+00, 0, 0 
9900, 2.118549e+00, 0, 1.455524e+00, 0, 0 
10000, 2.118149e+00, 0, 1.455386e+00, 0, 0 
