Angstroms, e1, e2, n, k, Absorption 
2500, 3.732300e+00, 1.885328e+01, 3.387585e+00, 2.782702e+00, 1.487963e-01 
2600, 4.542634e+00, 1.686961e+01, 3.317616e+00, 2.542429e+00, 1.294314e-01 
2700, 4.686508e+00, 1.556482e+01, 3.235859e+00, 2.405052e+00, 1.158701e-01 
2800, 4.482816e+00, 1.465743e+01, 3.147255e+00, 2.328605e+00, 1.058038e-01 
2900, 3.976058e+00, 1.414477e+01, 3.055244e+00, 2.314834e+00, 9.895252e-02 
3000, 3.346400e+00, 1.406073e+01, 2.983275e+00, 2.356593e+00, 9.527630e-02 
3100, 2.797600e+00, 1.433700e+01, 2.950000e+00, 2.430000e+00, 9.407581e-02 
3200, 2.495159e+00, 1.494280e+01, 2.970257e+00, 2.515406e+00, 9.494214e-02 
3300, 2.364042e+00, 1.564885e+01, 3.015830e+00, 2.594453e+00, 9.634189e-02 
3400, 2.534688e+00, 1.639852e+01, 3.092567e+00, 2.651280e+00, 9.790457e-02 
3500, 2.923628e+00, 1.716377e+01, 3.188622e+00, 2.691409e+00, 9.946111e-02 
3600, 3.809845e+00, 1.794009e+01, 3.327913e+00, 2.695396e+00, 1.009878e-01 
3700, 4.994005e+00, 1.783968e+01, 3.429250e+00, 2.601106e+00, 9.787451e-02 
3800, 5.624193e+00, 1.728807e+01, 3.449935e+00, 2.505565e+00, 9.261643e-02 
3900, 5.746334e+00, 1.671094e+01, 3.421817e+00, 2.441822e+00, 8.747212e-02 
4000, 5.684000e+00, 1.633980e+01, 3.390000e+00, 2.410000e+00, 8.356680e-02 
4100, 5.431322e+00, 1.626098e+01, 3.359716e+00, 2.419993e+00, 8.123688e-02 
4200, 5.191803e+00, 1.618509e+01, 3.330857e+00, 2.429569e+00, 7.902618e-02 
4300, 4.965000e+00, 1.629580e+01, 3.316654e+00, 2.456663e+00, 7.776865e-02 
4400, 4.749238e+00, 1.640435e+01, 3.303576e+00, 2.482817e+00, 7.655701e-02 
4500, 4.570166e+00, 1.671364e+01, 3.308880e+00, 2.525574e+00, 7.627845e-02 
4600, 4.440791e+00, 1.691011e+01, 3.310912e+00, 2.553693e+00, 7.552765e-02 
4700, 4.308910e+00, 1.726853e+01, 3.324674e+00, 2.597026e+00, 7.548903e-02 
4800, 4.278433e+00, 1.756373e+01, 3.343333e+00, 2.626680e+00, 7.519184e-02 
4900, 4.248629e+00, 1.785598e+01, 3.361779e+00, 2.655735e+00, 7.489480e-02 
5000, 4.286337e+00, 1.828546e+01, 3.396135e+00, 2.692099e+00, 7.515197e-02 
5100, 4.408683e+00, 1.862242e+01, 3.431170e+00, 2.713714e+00, 7.504059e-02 
5200, 4.568360e+00, 1.881844e+01, 3.459290e+00, 2.719986e+00, 7.439770e-02 
5300, 4.741134e+00, 1.895391e+01, 3.484180e+00, 2.719995e+00, 7.355254e-02 
5400, 4.847478e+00, 1.904529e+01, 3.499999e+00, 2.720757e+00, 7.257626e-02 
5500, 4.801680e+00, 1.910412e+01, 3.499999e+00, 2.729160e+00, 7.151706e-02 
5600, 4.668886e+00, 1.917071e+01, 3.492846e+00, 2.744283e+00, 7.052212e-02 
5700, 4.523017e+00, 1.945452e+01, 3.499743e+00, 2.779421e+00, 7.031820e-02 
5800, 4.434117e+00, 1.981797e+01, 3.517249e+00, 2.817255e+00, 7.039404e-02 
5900, 4.464774e+00, 2.009607e+01, 3.539128e+00, 2.839128e+00, 7.017998e-02 
6000, 4.532200e+00, 2.031600e+01, 3.560028e+00, 2.853348e+00, 6.978035e-02 
6100, 4.579970e+00, 2.055388e+01, 3.580359e+00, 2.870366e+00, 6.945217e-02 
6200, 4.609082e+00, 2.081120e+01, 3.600317e+00, 2.890190e+00, 6.919682e-02 
6300, 4.727448e+00, 2.113069e+01, 3.631839e+00, 2.909090e+00, 6.914579e-02 
6400, 4.858675e+00, 2.142600e+01, 3.662558e+00, 2.925005e+00, 6.902118e-02 
6500, 5.007663e+00, 2.168791e+01, 3.692302e+00, 2.936908e+00, 6.879817e-02 
6600, 5.209831e+00, 2.193595e+01, 3.725317e+00, 2.944173e+00, 6.854009e-02 
6700, 5.430683e+00, 2.217914e+01, 3.759322e+00, 2.949885e+00, 6.827519e-02 
6800, 5.798226e+00, 2.220950e+01, 3.791578e+00, 2.928794e+00, 6.739470e-02 
6900, 6.155889e+00, 2.221958e+01, 3.821809e+00, 2.906946e+00, 6.648031e-02 
7000, 6.419138e+00, 2.211278e+01, 3.836977e+00, 2.881537e+00, 6.525780e-02 
7100, 6.669892e+00, 2.197357e+01, 3.849250e+00, 2.854266e+00, 6.397693e-02 
7200, 6.849844e+00, 2.165068e+01, 3.844364e+00, 2.815899e+00, 6.221903e-02 
7300, 7.013171e+00, 2.132547e+01, 3.838113e+00, 2.778118e+00, 6.049972e-02 
7400, 6.955614e+00, 2.096927e+01, 3.811062e+00, 2.751105e+00, 5.873967e-02 
7500, 6.898057e+00, 2.061307e+01, 3.783828e+00, 2.723838e+00, 5.702339e-02 
7600, 6.669144e+00, 2.023677e+01, 3.740088e+00, 2.705386e+00, 5.529588e-02 
7700, 6.412336e+00, 1.985719e+01, 3.693183e+00, 2.688357e+00, 5.360161e-02 
7800, 6.069077e+00, 1.962355e+01, 3.647582e+00, 2.689939e+00, 5.232669e-02 
7900, 5.642757e+00, 1.953011e+01, 3.603588e+00, 2.709814e+00, 5.144210e-02 
8000, 5.217350e+00, 1.943753e+01, 3.559699e+00, 2.730221e+00, 5.058101e-02 
8100, 4.882369e+00, 1.943034e+01, 3.529641e+00, 2.752452e+00, 4.995441e-02 
8200, 4.547388e+00, 1.942315e+01, 3.499697e+00, 2.774976e+00, 4.934269e-02 
8300, 4.204091e+00, 1.940022e+01, 3.468040e+00, 2.797000e+00, 4.870680e-02 
8400, 3.844653e+00, 1.934675e+01, 3.432908e+00, 2.817837e+00, 4.801170e-02 
8500, 3.485215e+00, 1.929327e+01, 3.397849e+00, 2.839042e+00, 4.733245e-02 
8600, 3.102784e+00, 1.929987e+01, 3.365299e+00, 2.867482e+00, 4.681077e-02 
8700, 2.696423e+00, 1.936898e+01, 3.335580e+00, 2.903390e+00, 4.644721e-02 
8800, 2.290061e+00, 1.943810e+01, 3.306251e+00, 2.939598e+00, 4.609178e-02 
8900, 1.895165e+00, 1.949977e+01, 3.277713e+00, 2.974599e+00, 4.572715e-02 
9000, 1.514861e+00, 1.955196e+01, 3.250032e+00, 3.007964e+00, 4.534902e-02 
9100, 1.134556e+00, 1.960416e+01, 3.222694e+00, 3.041579e+00, 4.497906e-02 
9200, 7.435629e-01, 1.967382e+01, 3.196203e+00, 3.077686e+00, 4.465574e-02 
9300, 2.964520e-01, 1.983518e+01, 3.172841e+00, 3.125775e+00, 4.454056e-02 
9400, -1.506589e-01, 1.999654e+01, 3.150115e+00, 3.173938e+00, 4.442780e-02 
9500, -5.977697e-01, 2.015790e+01, 3.128018e+00, 3.222152e+00, 4.431741e-02 
9600, -9.984448e-01, 2.029369e+01, 3.108038e+00, 3.264712e+00, 4.415494e-02 
9700, -1.371848e+00, 2.041448e+01, 3.089391e+00, 3.303965e+00, 4.396419e-02 
9800, -1.745251e+00, 2.053527e+01, 3.071160e+00, 3.343243e+00, 4.377729e-02 
9900, -2.118654e+00, 2.065605e+01, 3.053340e+00, 3.382534e+00, 4.359413e-02 
10000, -2.595586e+00, 2.090781e+01, 3.039138e+00, 3.439760e+00, 4.368221e-02 
